pid,inicio,fim,num_tracks
398,25667,25683,16
399,25684,25712,28
400,25713,25753,40
401,25754,25924,170
402,25925,26054,129
403,26055,26265,210
404,26266,26339,73
405,26340,26554,214
406,26555,26783,228
407,26784,26835,51
408,26836,26845,9
409,26846,26879,33
410,26880,26967,87
411,26968,27137,169
412,27138,27327,189
413,27328,27350,22
414,27351,27368,17
415,27369,27381,12
416,27382,27426,44
417,27427,27444,17
418,27445,27463,18
419,27464,27585,121
420,27586,27695,109
421,27696,27719,23
422,27720,27775,55
423,27776,27794,18
424,27795,27917,122
425,27918,27928,10
426,27929,28019,90
427,28020,28133,113
428,28134,28245,111
429,28246,28287,41
430,28288,28316,28
431,28317,28411,94
432,28412,28496,84
433,28497,28526,29
434,28527,28627,100
435,28628,28672,44
436,28673,28824,151
437,28825,29024,199
438,29025,29117,92
439,29118,29292,174
440,29293,29317,24
441,29318,29521,203
442,29522,29717,195
443,29718,29759,41
444,29760,29772,12
445,29773,29797,24
446,29798,29840,42
447,29841,30007,166
448,30008,30034,26
449,30035,30051,16
450,30052,30126,74
451,30127,30149,22
452,30150,30227,77
453,30228,30387,159
454,30388,30547,159
455,30548,30593,45
456,30594,30834,240
457,30835,30898,63
458,30899,30988,89
459,30989,31091,102
460,31092,31187,95
461,31188,31206,18
462,31207,31258,51
463,31259,31291,32
464,31292,31305,13
465,31306,31446,140
466,31447,31473,26
467,31474,31604,130
468,31605,31745,140
469,31746,31808,62
470,31809,31982,173
471,31983,32125,142
472,32126,32265,139
473,32266,32317,51
474,32318,32342,24
475,32343,32518,175
476,32519,32597,78
477,32598,32610,12
478,32611,32671,60
479,32672,32723,51
480,32724,32823,99
481,32824,32846,22
482,32847,32853,6
483,32854,33095,241
484,33096,33117,21
485,33118,33175,57
486,33176,33193,17
487,33194,33235,41
488,33236,33272,36
489,33273,33332,59
490,33333,33348,15
491,33349,33567,218
492,33568,33602,34
493,33603,33661,58
494,33662,33689,27
495,33690,33708,18
496,33709,33729,20
497,33730,33755,25
498,33756,33827,71
499,33828,33915,87
500,33916,33944,28
501,33945,33973,28
502,33974,34026,52
503,34027,34052,25
504,34053,34211,158
505,34212,34266,54
506,34267,34338,71
507,34339,34371,32
508,34372,34398,26
509,34399,34484,85
510,34485,34521,36
511,34522,34554,32
512,34555,34588,33
513,34589,34635,46
514,34636,34667,31
515,34668,34704,36
516,34705,34893,188
517,34894,34938,44
518,34939,34953,14
519,34954,35009,55
520,35010,35039,29
521,35040,35167,127
522,35168,35189,21
523,35190,35342,152
524,35343,35407,64
525,35408,35547,139
526,35548,35675,127
527,35676,35725,49
528,35726,35863,137
529,35864,35900,36
530,35901,35952,51
531,35953,35959,6
532,35960,36106,146
533,36107,36141,34
534,36142,36155,13
535,36156,36202,46
536,36203,36228,25
537,36229,36265,36
538,36266,36294,28
539,36295,36323,28
540,36324,36376,52
541,36377,36410,33
542,36411,36479,68
543,36480,36567,87
544,36568,36645,77
545,36646,36674,28
546,36675,36725,50
547,36726,36754,28
548,36755,36774,19
549,36775,36816,41
550,36817,36851,34
551,36852,36885,33
552,36886,36956,70
553,36957,37172,215
554,37173,37322,149
555,37323,37378,55
556,37379,37431,52
557,37432,37502,70
558,37503,37550,47
559,37551,37789,238
560,37790,37968,178
561,37969,38014,45
562,38015,38112,97
563,38113,38127,14
564,38128,38146,18
565,38147,38285,138
566,38286,38302,16
567,38303,38353,50
568,38354,38369,15
569,38370,38392,22
570,38393,38416,23
571,38417,38436,19
572,38437,38614,177
573,38615,38696,81
574,38697,38715,18
575,38716,38761,45
576,38762,38795,33
577,38796,38827,31
578,38828,38852,24
579,38853,38880,27
580,38881,38929,48
581,38930,39012,82
582,39013,39076,63
583,39077,39137,60
584,39138,39330,192
585,39331,39522,191
586,39523,39728,205
587,39729,39739,10
588,39740,39798,58
589,39799,39882,83
590,39883,39937,54
591,39938,39957,19
592,39958,40112,154
593,40113,40163,50
594,40164,40195,31
595,40196,40231,35
596,40232,40291,59
597,40292,40347,55
598,40348,40388,40
599,40389,40404,15
600,40405,40554,149
601,40555,40590,35
602,40591,40635,44
603,40636,40718,82
604,40719,40742,23
605,40743,40840,97
606,40841,40955,114
607,40956,41080,124
608,41081,41180,99
609,41181,41249,68
610,41250,41304,54
611,41305,41452,147
612,41453,41534,81
613,41535,41578,43
614,41579,41641,62
615,41642,41685,43
616,41686,41822,136
617,41823,41873,50
618,41874,41924,50
619,41925,41948,23
620,41949,41969,20
621,41970,42071,101
622,42072,42104,32
623,42105,42158,53
624,42159,42173,14
625,42174,42264,90
626,42265,42385,120
627,42386,42444,58
628,42445,42466,21
629,42467,42487,20
630,42488,42550,62
631,42551,42612,61
632,42613,42664,51
633,42665,42859,194
634,42860,42916,56
635,42917,43004,87
636,43005,43083,78
637,43084,43289,205
638,43290,43321,31
639,43322,43364,42
640,43365,43403,38
641,43404,43412,8
642,43413,43517,104
643,43518,43638,120
644,43639,43671,32
645,43672,43701,29
646,43702,43720,18
647,43721,43876,155
648,43877,44011,134
649,44012,44122,110
650,44123,44164,41
651,44165,44211,46
652,44212,44252,40
653,44253,44263,10
654,44264,44308,44
655,44309,44359,50
656,44360,44463,103
657,44464,44588,124
658,44589,44653,64
659,44654,44818,164
660,44819,44910,91
661,44911,44969,58
662,44970,45153,183
663,45154,45207,53
664,45208,45225,17
665,45226,45287,61
666,45288,45318,30
667,45319,45379,60
668,45380,45399,19
669,45400,45459,59
670,45460,45507,47
671,45508,45570,62
672,45571,45645,74
673,45646,45802,156
674,45803,45832,29
675,45833,45839,6
676,45840,45947,107
677,45948,46000,52
678,46001,46014,13
679,46015,46059,44
680,46060,46295,235
681,46296,46312,16
682,46313,46402,89
683,46403,46588,185
684,46589,46628,39
685,46629,46640,11
686,46641,46684,43
687,46685,46806,121
688,46807,46862,55
689,46863,47098,235
690,47099,47151,52
691,47152,47269,117
692,47270,47289,19
693,47290,47364,74
694,47365,47555,190
695,47556,47576,20
696,47577,47609,32
697,47610,47699,89
698,47700,47714,14
699,47715,47898,183
700,47899,47971,72
701,47972,48010,38
702,48011,48034,23
703,48035,48233,198
704,48234,48454,220
705,48455,48478,23
706,48479,48484,5
707,48485,48495,10
708,48496,48539,43
709,48540,48564,24
710,48565,48573,8
711,48574,48583,9
712,48584,48706,122
713,48707,48790,83
714,48791,48846,55
715,48847,48891,44
716,48892,48927,35
717,48928,48984,56
718,48985,49009,24
719,49010,49098,88
720,49099,49150,51
721,49151,49191,40
722,49192,49260,68
723,49261,49280,19
724,49281,49387,106
725,49388,49421,33
726,49422,49445,23
727,49446,49502,56
728,49503,49551,48
729,49552,49656,104
730,49657,49790,133
731,49791,49895,104
732,49896,49910,14
733,49911,50002,91
734,50003,50120,117
735,50121,50167,46
736,50168,50196,28
737,50197,50232,35
738,50233,50248,15
739,50249,50291,42
740,50292,50487,195
741,50488,50528,40
742,50529,50560,31
743,50561,50806,245
744,50807,50882,75
745,50883,50953,70
746,50954,50975,21
747,50976,51055,79
748,51056,51141,85
749,51142,51178,36
750,51179,51212,33
751,51213,51363,150
752,51364,51502,138
753,51503,51529,26
754,51530,51618,88
755,51619,51669,50
756,51670,51688,18
757,51689,51705,16
758,51706,51741,35
759,51742,51770,28
760,51771,51881,110
761,51882,51921,39
762,51922,51967,45
763,51968,52004,36
764,52005,52023,18
765,52024,52105,81
766,52106,52191,85
767,52192,52341,149
768,52342,52415,73
769,52416,52573,157
770,52574,52641,67
771,52642,52648,6
772,52649,52669,20
773,52670,52796,126
774,52797,52813,16
775,52814,52838,24
776,52839,52874,35
777,52875,52894,19
778,52895,52911,16
779,52912,52997,85
780,52998,53021,23
781,53022,53143,121
782,53144,53379,235
783,53380,53397,17
784,53398,53408,10
785,53409,53464,55
786,53465,53524,59
787,53525,53532,7
788,53533,53563,30
789,53564,53593,29
790,53594,53614,20
791,53615,53663,48
792,53664,53680,16
793,53681,53771,90
794,53772,53800,28
795,53801,53810,9
796,53811,53859,48
797,53860,53907,47
798,53908,53942,34
799,53943,53976,33
800,53977,53985,8
801,53986,54043,57
802,54044,54138,94
803,54139,54343,204
804,54344,54430,86
805,54431,54443,12
806,54444,54587,143
807,54588,54663,75
808,54664,54777,113
809,54778,54793,15
810,54794,54804,10
811,54805,55039,234
812,55040,55152,112
813,55153,55194,41
814,55195,55240,45
815,55241,55430,189
816,55431,55528,97
817,55529,55582,53
818,55583,55597,14
819,55598,55619,21
820,55620,55637,17
821,55638,55662,24
822,55663,55828,165
823,55829,55949,120
824,55950,55974,24
825,55975,56053,78
826,56054,56073,19
827,56074,56098,24
828,56099,56117,18
829,56118,56153,35
830,56154,56170,16
831,56171,56247,76
832,56248,56275,27
833,56276,56404,128
834,56405,56424,19
835,56425,56632,207
836,56633,56652,19
837,56653,56671,18
838,56672,56793,121
839,56794,56863,69
840,56864,56981,117
841,56982,57093,111
842,57094,57230,136
843,57231,57452,221
844,57453,57603,150
845,57604,57616,12
846,57617,57644,27
847,57645,57856,211
848,57857,58057,200
849,58058,58159,101
850,58160,58213,53
851,58214,58231,17
852,58232,58281,49
853,58282,58341,59
854,58342,58560,218
855,58561,58634,73
856,58635,58651,16
857,58652,58784,132
858,58785,58881,96
859,58882,59061,179
860,59062,59112,50
861,59113,59177,64
862,59178,59192,14
863,59193,59241,48
864,59242,59314,72
865,59315,59351,36
866,59352,59443,91
867,59444,59498,54
868,59499,59521,22
869,59522,59559,37
870,59560,59607,47
871,59608,59633,25
872,59634,59663,29
873,59664,59695,31
874,59696,59829,133
875,59830,59872,42
876,59873,59941,68
877,59942,60027,85
878,60028,60037,9
879,60038,60279,241
880,60280,60306,26
881,60307,60369,62
882,60370,60376,6
883,60377,60459,82
884,60460,60501,41
885,60502,60561,59
886,60562,60787,225
887,60788,60854,66
888,60855,60877,22
889,60878,60913,35
890,60914,60920,6
891,60921,60928,7
892,60929,60940,11
893,60941,61076,135
894,61077,61097,20
895,61098,61235,137
896,61236,61443,207
897,61444,61514,70
898,61515,61560,45
899,61561,61615,54
900,61616,61630,14
901,61631,61678,47
902,61679,61721,42
903,61722,61788,66
904,61789,61815,26
905,61816,61827,11
906,61828,61858,30
907,61859,61972,113
908,61973,62026,53
909,62027,62041,14
910,62042,62129,87
911,62130,62171,41
912,62172,62262,90
913,62263,62397,134
914,62398,62469,71
915,62470,62478,8
916,62479,62568,89
917,62569,62609,40
918,62610,62772,162
919,62773,62821,48
920,62822,62968,146
921,62969,63081,112
922,63082,63094,12
923,63095,63131,36
924,63132,63235,103
925,63236,63311,75
926,63312,63373,61
927,63374,63439,65
928,63440,63450,10
929,63451,63469,18
930,63470,63590,120
931,63591,63645,54
932,63646,63681,35
933,63682,63729,47
934,63730,63766,36
935,63767,63811,44
936,63812,63849,37
937,63850,63876,26
938,63877,63933,56
939,63934,63969,35
940,63970,64019,49
941,64020,64160,140
942,64161,64255,94
943,64256,64348,92
944,64349,64380,31
945,64381,64407,26
946,64408,64527,119
947,64528,64538,10
948,64539,64602,63
949,64603,64677,74
950,64678,64733,55
951,64734,64743,9
952,64744,64754,10
953,64755,64825,70
954,64826,64850,24
955,64851,65075,224
956,65076,65151,75
957,65152,65191,39
958,65192,65209,17
959,65210,65231,21
960,65232,65291,59
961,65292,65345,53
962,65346,65426,80
963,65427,65437,10
964,65438,65573,135
965,65574,65671,97
966,65672,65684,12
967,65685,65696,11
968,65697,65859,162
969,65860,65895,35
970,65896,65975,79
971,65976,66033,57
972,66034,66167,133
973,66168,66185,17
974,66186,66326,140
975,66327,66348,21
976,66349,66365,16
977,66366,66499,133
978,66500,66626,126
979,66627,66848,221
980,66849,67063,214
981,67064,67099,35
982,67100,67156,56
983,67157,67257,100
984,67258,67461,203
985,67462,67541,79
986,67542,67611,69
987,67612,67784,172
988,67785,67799,14
989,67800,67833,33
990,67834,67921,87
991,67922,67941,19
992,67942,68068,126
993,68069,68107,38
994,68108,68169,61
995,68170,68211,41
996,68212,68229,17
997,68230,68349,119
998,68350,68458,108
999,68459,68503,44
1000,68504,68693,189
1001,68694,68859,165
1002,68860,68877,17
1003,68878,69103,225
1004,69104,69269,165
1005,69270,69298,28
1006,69299,69379,80
1007,69380,69438,58
1008,69439,69523,84
1009,69524,69565,41
1010,69566,69640,74
1011,69641,69738,97
1012,69739,69757,18
1013,69758,69825,67
1014,69826,69909,83
1015,69910,69963,53
1016,69964,70162,198
1017,70163,70192,29
1018,70193,70323,130
1019,70324,70367,43
1020,70368,70385,17
1021,70386,70492,106
1022,70493,70522,29
1023,70523,70558,35
1024,70559,70566,7
1025,70567,70774,207
1026,70775,70799,24
1027,70800,70828,28
1028,70829,70969,140
1029,70970,70989,19
1030,70990,71023,33
1031,71024,71037,13
1032,71038,71076,38
1033,71077,71129,52
1034,71130,71139,9
1035,71140,71302,162
1036,71303,71350,47
1037,71351,71429,78
1038,71430,71435,5
1039,71436,71544,108
1040,71545,71561,16
1041,71562,71582,20
1042,71583,71761,178
1043,71762,71796,34
1044,71797,71839,42
1045,71840,71945,105
1046,71946,71965,19
1047,71966,72055,89
1048,72056,72092,36
1049,72093,72178,85
1050,72179,72263,84
1051,72264,72285,21
1052,72286,72369,83
1053,72370,72481,111
1054,72482,72573,91
1055,72574,72604,30
1056,72605,72743,138
1057,72744,72829,85
1058,72830,72846,16
1059,72847,73013,166
1060,73014,73027,13
1061,73028,73058,30
1062,73059,73134,75
1063,73135,73273,138
1064,73274,73482,208
1065,73483,73503,20
1066,73504,73522,18
1067,73523,73607,84
1068,73608,73618,10
1069,73619,73755,136
1070,73756,73940,184
1071,73941,73985,44
1072,73986,74153,167
1073,74154,74297,143
1074,74298,74352,54
1075,74353,74375,22
1076,74376,74399,23
1077,74400,74423,23
1078,74424,74487,63
1079,74488,74518,30
1080,74519,74544,25
1081,74545,74561,16
1082,74562,74575,13
1083,74576,74631,55
1084,74632,74775,143
1085,74776,74791,15
1086,74792,74803,11
1087,74804,74876,72
1088,74877,74891,14
1089,74892,74916,24
1090,74917,74971,54
1091,74972,75021,49
1092,75022,75053,31
1093,75054,75075,21
1094,75076,75154,78
1095,75155,75241,86
1096,75242,75419,177
1097,75420,75447,27
1098,75448,75487,39
1099,75488,75544,56
1100,75545,75587,42
1101,75588,75682,94
1102,75683,75741,58
1103,75742,75840,98
1104,75841,75951,110
1105,75952,75990,38
1106,75991,76037,46
1107,76038,76084,46
1108,76085,76118,33
1109,76119,76141,22
1110,76142,76157,15
1111,76158,76194,36
1112,76195,76218,23
1113,76219,76229,10
1114,76230,76251,21
1115,76252,76310,58
1116,76311,76318,7
1117,76319,76462,143
1118,76463,76476,13
1119,76477,76536,59
1120,76537,76551,14
1121,76552,76567,15
1122,76568,76672,104
1123,76673,76699,26
1124,76700,76722,22
1125,76723,76799,76
1126,76800,76953,153
1127,76954,77035,81
1128,77036,77060,24
1129,77061,77084,23
1130,77085,77159,74
1131,77160,77177,17
1132,77178,77232,54
1133,77233,77280,47
1134,77281,77293,12
1135,77294,77356,62
1136,77357,77483,126
1137,77484,77586,102
1138,77587,77760,173
1139,77761,77773,12
1140,77774,77903,129
1141,77904,77939,35
1142,77940,78016,76
1143,78017,78153,136
1144,78154,78238,84
1145,78239,78278,39
1146,78279,78355,76
1147,78356,78457,101
1148,78458,78512,54
1149,78513,78542,29
1150,78543,78633,90
1151,78634,78750,116
1152,78751,78763,12
1153,78764,78785,21
1154,78786,78967,181
1155,78968,79001,33
1156,79002,79106,104
1157,79107,79273,166
1158,79274,79323,49
1159,79324,79455,131
1160,79456,79502,46
1161,79503,79560,57
1162,79561,79634,73
1163,79635,79654,19
1164,79655,79734,79
1165,79735,79799,64
1166,79800,79903,103
1167,79904,80078,174
1168,80079,80108,29
1169,80109,80203,94
1170,80204,80380,176
1171,80381,80552,171
1172,80553,80606,53
1173,80607,80652,45
1174,80653,80760,107
1175,80761,80848,87
1176,80849,80983,134
1177,80984,81012,28
1178,81013,81075,62
1179,81076,81163,87
1180,81164,81231,67
1181,81232,81287,55
1182,81288,81344,56
1183,81345,81431,86
1184,81432,81474,42
1185,81475,81518,43
1186,81519,81553,34
1187,81554,81602,48
1188,81603,81623,20
1189,81624,81658,34
1190,81659,81685,26
1191,81686,81723,37
1192,81724,81749,25
1193,81750,81779,29
1194,81780,81813,33
1195,81814,81872,58
1196,81873,81885,12
1197,81886,81908,22
1198,81909,81944,35
1199,81945,82005,60
1200,82006,82016,10
1201,82017,82057,40
1202,82058,82081,23
1203,82082,82132,50
1204,82133,82153,20
1205,82154,82306,152
1206,82307,82394,87
1207,82395,82448,53
1208,82449,82461,12
1209,82462,82509,47
1210,82510,82580,70
1211,82581,82621,40
1212,82622,82705,83
1213,82706,82744,38
1214,82745,82856,111
1215,82857,82924,67
1216,82925,82968,43
1217,82969,83020,51
1218,83021,83086,65
1219,83087,83248,161
1220,83249,83438,189
1221,83439,83468,29
1222,83469,83494,25
1223,83495,83522,27
1224,83523,83558,35
1225,83559,83586,27
1226,83587,83625,38
1227,83626,83788,162
1228,83789,83889,100
1229,83890,83971,81
1230,83972,83977,5
1231,83978,83983,5
1232,83984,84065,81
1233,84066,84131,65
1234,84132,84178,46
1235,84179,84202,23
1236,84203,84221,18
1237,84222,84409,187
1238,84410,84446,36
1239,84447,84474,27
1240,84475,84507,32
1241,84508,84563,55
1242,84564,84621,57
1243,84622,84734,112
1244,84735,84755,20
1245,84756,84816,60
1246,84817,84841,24
1247,84842,84964,122
1248,84965,85090,125
1249,85091,85111,20
1250,85112,85144,32
1251,85145,85190,45
1252,85191,85229,38
1253,85230,85277,47
1254,85278,85304,26
1255,85305,85473,168
1256,85474,85500,26
1257,85501,85597,96
1258,85598,85634,36
1259,85635,85658,23
1260,85659,85684,25
1261,85685,85738,53
1262,85739,85754,15
1263,85755,85787,32
1264,85788,85817,29
1265,85818,85912,94
1266,85913,85949,36
1267,85950,85966,16
1268,85967,85978,11
1269,85979,86042,63
1270,86043,86099,56
1271,86100,86256,156
1272,86257,86281,24
1273,86282,86379,97
1274,86380,86404,24
1275,86405,86497,92
1276,86498,86694,196
1277,86695,86795,100
1278,86796,86840,44
1279,86841,86901,60
1280,86902,86947,45
1281,86948,87007,59
1282,87008,87065,57
1283,87066,87107,41
1284,87108,87141,33
1285,87142,87166,24
1286,87167,87234,67
1287,87235,87274,39
1288,87275,87393,118
1289,87394,87602,208
1290,87603,87611,8
1291,87612,87636,24
1292,87637,87703,66
1293,87704,87747,43
1294,87748,87861,113
1295,87862,87968,106
1296,87969,88079,110
1297,88080,88099,19
1298,88100,88132,32
1299,88133,88232,99
1300,88233,88366,133
1301,88367,88528,161
1302,88529,88550,21
1303,88551,88629,78
1304,88630,88699,69
1305,88700,88777,77
1306,88778,88798,20
1307,88799,88820,21
1308,88821,88855,34
1309,88856,89050,194
1310,89051,89103,52
1311,89104,89143,39
1312,89144,89206,62
1313,89207,89258,51
1314,89259,89369,110
1315,89370,89438,68
1316,89439,89493,54
1317,89494,89525,31
1318,89526,89635,109
1319,89636,89646,10
1320,89647,89667,20
1321,89668,89700,32
1322,89701,89708,7
1323,89709,89849,140
1324,89850,90064,214
1325,90065,90106,41
1326,90107,90251,144
1327,90252,90330,78
1328,90331,90532,201
1329,90533,90554,21
1330,90555,90580,25
1331,90581,90713,132
1332,90714,90730,16
1333,90731,90782,51
1334,90783,90893,110
1335,90894,91002,108
1336,91003,91016,13
1337,91017,91035,18
1338,91036,91060,24
1339,91061,91278,217
1340,91279,91507,228
1341,91508,91577,69
1342,91578,91623,45
1343,91624,91759,135
1344,91760,91778,18
1345,91779,91931,152
1346,91932,91963,31
1347,91964,92173,209
1348,92174,92203,29
1349,92204,92261,57
1350,92262,92312,50
1351,92313,92372,59
1352,92373,92401,28
1353,92402,92436,34
1354,92437,92456,19
1355,92457,92589,132
1356,92590,92618,28
1357,92619,92630,11
1358,92631,92656,25
1359,92657,92684,27
1360,92685,92746,61
1361,92747,92797,50
1362,92798,92847,49
